"doc_id","screen_name","text"
"1421023897152102401","BimataIndonesia","Satgas Covid-19 Kota Depok Gencarkan Testing Keliling Kampung https://t.co/piR3pplF4t"
"1421005868515090433","BimataIndonesia","Presiden AS Berikan Insentif Rp14 Juta Bagi Warga yang Mau Divaksinasi Covid-19 https://t.co/EgCDhWvvJH"
"1420998268637569025","BimataIndonesia","Gerindra Jatim Dorong Kesejahteraan Nakes Covid-19 https://t.co/ZjkUIyEjDQ"
"1421023880047517697","ridwankamil","Terima kasih kepada Krakatau Steel, Pusri Palembang, Samator Group, Sinar Mas, Tanoto Foundation juga Shopee yg sudah terus membantu ketersediaan oksigen utk pasien Covid di Jabar. Terima kasih utk BUMD Jabar &amp; rekanan, manajemen oksigen di Jawa Barat relatif lebih terkendali."
"1421023873714114562","kejaksaansitaro","Jum'at 30/7/2021, Pegawai dan Honorer Kejaksaan Negeri Kepl. Sitaro melaksanakan kegiatan Rapid Test Antigen upaya mendeteksi dini pencegahan penularan Covid-19
#kejaksaanri
#menpanrb
#kapuspenkum
#kejatisulut
#puspenkum
#kejaksaannegerikepulauansitaro https://t.co/4Y8JElq6F4"
"1421019408277774337","jeonnaakook","alhamdulillah aku negatif covid <U+0001F62D><U+0001F62D><U+0001F62D>"
"1421023866625794049","jeonnaakook","Hamdallah yaAllah krn aku negatif covid jadi bisa ikut pkl di rs huhu seneng bgt <U+2764><U+FE0F><U+200D><U+0001F525> https://t.co/6o3wzb2zSj"
"1421023833599856640","septiana_b","@HikmahR6 Kena covid kak Ima<U+0001F62D><U+0001F62D>"
"1421023799818940416","tepianestapa","innalillahi wa inailaihi rojiun ibu temen gue meninggal hari ini krna covid :("
"1420986358890262531","ENS53311139","@democrazymedia Hari gini ditengah plandemi covid masih pencitraan, otak ditaruh dimana?"
"1420990654927101953","ENS53311139","Saatnya rakyat bersuara lantang..!!
Serasa dijajah penguasa, polisi dan satpol PP dibenturkan dengan rakyat, para pejabat parasit jongos cina pemegang disition maker ongkang ongkang menikmati bisnis covid, dgn memeras rakyat, urat malu sdh putus, kah, ? https://t.co/BF1ZuoPTpi"
"1421023763743657984","ENS53311139","Semoga covid segera hlang dr NKRI, Malu diasingkan olh dunia, kecuali, cina yg memiliki banyak kepentingan  atas NKRI 

https://t.co/zsPeBzoAWd"
"1420987535266770945","ENS53311139","Supaya ada alasan import covid selanjutnya, tanpa rambu https://t.co/WI85q6n1b7"
"1421009433694375936","ENS53311139","CATAT NIH…! Kemendagri Tegaskan Bikin KTP dan Urus Dokumen Kependudukan Tidak Perlu Sertifikat Vaksinasi Covid-19 https://t.co/hSJq3DW2Te lewat @BERGELORA.COM"
"1420964247756939268","OfficialiNewsTV","Presiden Jokowi mengatakan Indonesia mampu mengerem lonjakan kasus Covid-19 karena menerapkan PPKM.

https://t.co/wkI9nxlgxz"
"1421000103591124993","OfficialiNewsTV","Menggembirakan, Kota Sukabumi Keluar dari Zona Merah Covid-19 https://t.co/cP4HaJI9nA"
"1420986700382150664","OfficialiNewsTV","KONFIRMASI KEHADIRAN MELALUI https://t.co/0qVzzQTnHI

#MNCPeduli #VaksinasiCovid19 #AyoVaksinasi #VaksinCovid19 #BersamaMNCLawanCorona #Berbagi #Peduli #SharingIsCaring"
"1420982862564577281","OfficialiNewsTV","Presiden Jokowi mengingatkan saat ini sejumlah wilayah di luar Pulau Jawa justru gantian mengalami lonjakan kasus Covid-19.

https://t.co/OLCsaTpfUq"
"1420957321824403460","OfficialiNewsTV","Patroli Penanganan COVID-19 di Jawa Timur #iNewsPagi 30/07 https://t.co/IvRxWVb3IT via @YouTube https://t.co/Mh1rbnNs4M"
"1420976195802484736","OfficialiNewsTV","Mudahkan Warga, Vaksin Covid-19 di Amerika Bisa Didapat di Apotek dan Gratis!     https://t.co/lA6PUaAq3r"
"1421007653224861701","OfficialiNewsTV","Presiden Jokowi menegaskan lockdown tidak menjamin penanganan Covid-19 di Indonesia berhasil.

https://t.co/VHTq7bpUua"
"1421023759272607744","OfficialiNewsTV","Ambil Obat Covid-19 di India dan China, TNI Siapkan 4 Pesawat Hercules https://t.co/OPfMzuPyub"
"1420979972139896834","OfficialiNewsTV","Menurut Jamin, pembatalan harus dilakukan untuk menjaga perasaan rakyat yang sedang kesusahan karena pandemi Covid-19.

https://t.co/cqh8QdUe4l"
"1420978712468676610","inewsdotid","Menurut Jamin, pembatalan harus dilakukan untuk menjaga perasaan rakyat yang sedang kesusahan karena pandemi Covid-19.

https://t.co/MB6z6pWDfe"
"1420964291612528642","inewsdotid","Presiden Jokowi mengatakan Indonesia mampu mengerem lonjakan kasus Covid-19 karena menerapkan PPKM.

https://t.co/glnbQfEUFi"
"1421007347837636610","inewsdotid","Presiden Jokowi menegaskan lockdown tidak menjamin penanganan Covid-19 di Indonesia berhasil.

https://t.co/1lmuKkZad3"
"1421000103402250240","inewsdotid","Menggembirakan, Kota Sukabumi Keluar dari Zona Merah Covid-19 https://t.co/ghQvjkXic4"
"1421013944693665797","inewsdotid","Tingginya kasus Covid-19 di Indonesia menyebabkan ribuan WNA dari berbagai negara meninggalkan Indonesia melalui Bandara Soekarno-Hatta, Tangerang, Banten.

https://t.co/dThlo5rudM https://t.co/Jm4JOfcmZ1"
"1420982734944493571","inewsdotid","Presiden Jokowi mengingatkan saat ini sejumlah wilayah di luar Pulau Jawa justru gantian mengalami lonjakan kasus Covid-19.

https://t.co/22g4vBD79C"
"1421023759247499266","inewsdotid","Ambil Obat Covid-19 di India dan China, TNI Siapkan 4 Pesawat Hercules https://t.co/J2llPZab1g"
"1420961221298180098","inewsdotid","Anosmia atau kehilangan indera penciuman merupakan salah satu gejala bagi pasien yang terpapar Covid-19.

Tapi benarkah anosmia sebagai tanda covid tak parah?

#LengkapCepatBeritanya
#Okezonecom https://t.co/v65AERibIU"
